exame,metodologia,agravo_requisicao,n_registros,marcador,classe,conta_alerta_agudo,conta_bortman,conta_positividade_agregada,validacao_ms,fonte,nota_pt
"Febre Maculosa, 2a amostra",Imunofluorescência Indireta,FEBRE MACULOSA / RICKETTSIOSES,1,sorologia_pareada,sinal_agudo_ou_ativo,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Sorologia febre maculosa (amostra): interpretar pareamento — sinal para VE.
"Febre Maculosa, 1a amostra",Imunofluorescência Indireta,FEBRE MACULOSA / RICKETTSIOSES,1,sorologia_pareada,sinal_agudo_ou_ativo,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Sorologia febre maculosa (amostra): interpretar pareamento — sinal para VE.
"Doença Priônica/ DCJ, Pesquisa da Proteína 14-3-3",Immunoblot,DOENÇA DE CREUTZFELDT-JAKOB,1,proteina_14_3_3,sinal_agudo_ou_ativo,true,false,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,DCJ/14-3-3: evento raro de alto impacto — acionar protocolo (não surto comunitário).
Esquistossomose,Kato - Katz,ESQUISTOSSOMOSE,1,Kato_Katz,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Kato-Katz: ovos = infecção ativa — sinal para VE.
"Filariose, Pesquisa do Antígeno",Imunocromatografia,FILARIOSE,1,filariose,sinal_agudo_ou_ativo,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Filariose (antígeno/parasitológico): sinal laboratorial — investigar.
"Leishmaniose Visceral Humana, Total",Enzimaimunoensaio,LEISHMANIOSE VISCERAL,1,sorologia_LV,sinal_agudo_ou_ativo,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Sorologia/TR LV: sinal laboratorial — cruzar clínica/SINAN (não surto automático).
"Hepatite D, Anti HDV Total",Imunoensaio por Quimioluminescência,HEPATITES VIRAIS,1,anti_HDV,nao_agudo_soroprevalencia,false,false,false,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Anti-HDV total: exposição — não basta sozinho para alerta agudo.
"Micobactérias, Identificação",Cultura,MENINGITE,1,cultura_bacteriana,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Cultura/ID bacteriana: operacional/assistencial — fora do cartão epidemia CIEVS.
"Oropouche, IgM",Enzimaimunoensaio,MENINGITE,1,IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,IgM Oropouche: infecção recente — sinal para a VE.
"Meningite, Sorotipagem de Neisseria Meningitidis",Tipagem,MENINGITE,1,tipagem_meningite,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Tipagem/TSA meningite: apoio laboratorial — cluster exige clínica+VE.
"Meningite, Sorotipagem de Streptococcus Pneumoniae",Tipagem,MENINGITE,1,tipagem_meningite,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Tipagem/TSA meningite: apoio laboratorial — cluster exige clínica+VE.
"Rubéola, IgG",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,1,IgG,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Rubéola IgG: imunidade — não alerta agudo.
"Streptococcus, identificação",Identificação,MENINGITE,1,cultura_bacteriana,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Cultura/ID bacteriana: operacional/assistencial — fora do cartão epidemia CIEVS.
"Rubéola, IgM",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,1,IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Rubéola IgM: infecção recente possível — investigar.
Pesquisa de Multipatógenos,PCR em Tempo Real,DOENÇAS DIARRÉICAS/GASTROENTERITE,1,molecular,molecular_presenca_ausencia,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Molecular (Pesquisa de Multipatógenos): presença/ausência do agente — confirmação laboratorial.
"Toxoplasmose, Avidez IgG",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,1,avidez_IgG,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Avidez IgG toxo: diferencia infecção recente vs antiga — interpretar com IgM.
